user_id,Recency,Frequency,Monetary
152034948,146,4,34.13
152422125,144,5,36.81
152423178,22,21,45.260000000000005
152656876,46,14,61.42
152659135,93,2,14.95
153131177,141,10,37.160000000000004
153316955,0,84,674.67
153378194,76,22,264.21
153836569,1,55,244.77
153840255,93,18,71.22
153879841,35,38,154.88
153921069,136,10,54.699999999999996
153948850,102,1,11.75
153949136,125,4,11.08
154065884,3,52,236.23
154124582,92,20,97.92
154227711,94,4,17.85
154241132,56,3,10.73
154287989,57,11,115.4
154315809,8,3,52.730000000000004
154561210,37,24,57.26
154588939,19,15,59.56
154753706,91,4,19.56
154772471,72,4,40.12
155085826,121,3,9.6
155120691,87,15,72.27
155229616,6,1,14.37
155272727,100,7,104.73
155465169,28,6,22.880000000000003
156025323,80,3,9.84
156036701,86,3,7.59
156245495,72,5,32.629999999999995
156248968,116,9,73.72
156316522,98,3,35.150000000000006
156408650,22,16,112.43
156430889,50,101,370.87
156589591,14,5,84.25
156633818,143,7,36.6
156916187,80,3,14.2
157051313,130,22,64.79
157114988,58,12,98.62
157186703,32,11,30.919999999999998
157359148,32,5,27.28
157636589,4,3,12.93
158089303,45,64,480.44
158336610,116,74,151.18
158522583,37,3,21.25
158902070,91,11,14.76
159159653,78,2,18.1
159260812,18,70,274.82
159277817,22,32,149.26
159353100,118,14,26.18
159365622,73,12,47.59
159486861,53,27,121.75
159597290,46,6,35.55
159683384,115,5,14.12
160001681,34,17,83.08
160135244,33,58,169.99
160341416,81,16,44.11
160482242,130,8,12.68
160628491,55,2,26.98
160665890,44,10,12.21
160905182,19,52,546.3100000000001
160962173,131,7,34.69
161026125,4,23,140.9
161182325,96,20,81.32000000000001
161190690,19,2,63.18
161222358,102,4,21.65
161271134,92,2,50.699999999999996
162071561,27,7,17.88
162075181,82,3,24.29
162794465,45,1,9.56
162807077,0,65,178.73
162860978,72,1,17.46
162869939,91,6,46.42
163536167,138,3,42.71
163577690,6,9,59.86
163816885,104,2,5.84
164036515,93,3,23.439999999999998
164121230,78,12,42.45
164126863,31,3,31.35
164180924,50,16,104.50999999999999
164222529,12,59,353.6
164283472,13,7,16.28
164300561,146,2,9.45
164784086,109,6,49.519999999999996
164882623,99,5,26.05
164957499,27,19,121.53
165349588,29,9,57.07
165374999,82,11,50.69
165488152,25,6,11.25
166045127,10,4,19.21
166177367,117,11,24.09
166465405,9,18,78.49
168757641,118,6,46.59
168761469,93,10,11.28
168937486,139,2,18.1
168987868,92,7,10.44
169017538,15,2,10.16
169447226,75,9,50.85
169486644,134,4,9.89
169624528,25,6,62.85
169851951,13,14,41.48
169938179,15,69,349.95
170054120,119,21,32.2
170054839,106,3,31.150000000000002
170061254,28,53,248.4
170386254,32,74,291.17
170692471,33,5,91.25999999999999
171204327,139,2,40.13
171268721,131,13,62.34
171498754,19,3,17.19
171681431,93,11,29.69
172059968,16,7,59.23
172276596,14,14,57.86
172335919,68,7,41.02
172368833,34,44,162.33
172483274,33,10,44.41
172503641,79,1,4.6
172645882,35,36,157.07
172692779,87,3,11.68
172974485,26,262,861.45
173017713,1,15,45.019999999999996
173017903,17,19,48.24
173022895,101,11,93.48
173367162,93,5,16.06
173514918,68,2,5.24
173521728,17,3,45.550000000000004
173623571,135,8,222.71
173697726,101,5,34.84
173797161,26,12,28.959999999999997
173803868,97,27,119.38
174005727,0,11,26.12
174313626,28,8,15.36
174382424,113,8,55.24
174425833,97,22,107.22
174440505,25,5,46.05
174462136,90,12,74.39
174980657,36,15,62.31
175143398,148,5,30.7
175273059,131,5,33.49
175573417,92,10,38.15
175705011,73,6,20.25
175706957,72,2,11.58
175907430,29,74,296.02
175919124,113,1,7.94
176064797,3,95,512.01
176234010,40,20,198.54000000000002
176646073,29,27,57.25
176653975,67,14,30.5
176693505,49,2,8.18
