user_id,recency,frequency,monetary
203776564,12,21,140.57999999999998
203779632,100,15,74.59
203899385,141,7,17.06
203943263,74,32,127.85
203981094,92,6,34.730000000000004
203998694,81,33,140.76
204021497,99,5,11.81
204034675,140,17,76.21000000000001
204142009,40,5,36.26
204166748,32,29,389.02
204178807,86,5,20.09
204181964,12,18,65.61
204490508,99,5,50.35
204503712,87,4,61.75
204525992,99,4,23.87
204598976,39,53,252.98
204614866,134,11,56.11
204668884,1,37,124.63
204805946,65,9,22.990000000000002
205013073,129,12,31.72
205013255,60,2,10.280000000000001
205018731,47,17,85.04
205149898,100,19,95.47
205176636,17,20,40.260000000000005
205191366,102,4,26.63
205277242,104,5,58.82
205289192,69,5,33.53
205351573,104,4,29.759999999999998
205826083,90,5,50.86
205833890,100,14,83.79
206010791,13,1,5.71
206070530,6,1,5.24
206494362,32,28,79.36
206570671,87,13,107.06
206650381,101,4,18.42
206707690,54,20,80.23
206869261,92,25,41.91
206889623,120,1,1.94
206993755,4,11,51.7
207327194,43,9,29.130000000000003
207366744,86,1,6.27
207373867,124,6,19.29
207395269,36,23,118.4
207639715,42,1,53.21
207914401,65,1,3.97
207931354,143,1,6.19
208267691,86,4,8.23
208358934,8,10,57.22
208683991,3,3,11.27
208865715,136,3,50.64
208910165,18,1,19.03
209220711,134,7,42.230000000000004
209281726,129,4,61.16
209478177,108,1,9.76
209484612,45,2,14.19
209554035,99,12,83.17
210376301,12,6,7.75
210404514,34,14,33.64
210529906,54,13,297.28999999999996
210660005,114,1,41.27
211065012,40,2,8.71
211557196,40,5,17.86
211958693,51,35,165.68
212061702,125,2,13.34
212417951,145,14,56.89
212571000,130,10,85.52
212600790,24,3,13.36
212783065,15,37,124.24
212813165,91,5,26.69
213303628,32,6,20.44
213527947,128,3,13.82
214108546,4,9,82.57000000000001
214304130,81,2,23.73
214345090,32,7,39.59
214567841,119,10,33.769999999999996
214649367,11,8,28.689999999999998
214663504,73,2,33.65
214683630,102,15,43.53
214807188,120,3,11.18
214955670,2,33,179.98
214969411,20,12,84.51
215040630,110,5,49.05
215105425,12,1,10.32
215234329,12,11,87.95
215426509,42,4,9.92
215450430,68,25,90.89
215487435,81,4,41.010000000000005
215551397,53,2,13.489999999999998
215559872,144,16,29.38
215774309,121,5,46.59
215988947,114,7,30.6
216050304,122,3,11.190000000000001
216129711,98,14,71.63
216194313,93,27,99.29
216194318,97,13,27.45
216604548,33,4,12.34
216791456,44,2,9.81
217401021,87,4,13.41
217587178,98,8,35.23
217643692,87,8,45.04
218063529,134,14,43.79
218446295,47,5,12.200000000000001
218670245,93,2,32.67
218961901,136,9,19.13
219019350,3,10,34.18
219226471,138,1,6.59
219271433,3,21,99.03
219465285,118,2,25.400000000000002
219542972,15,5,38.25
219589368,146,2,26.979999999999997
219890688,35,7,87.39
220035185,143,5,16.53
220154766,22,11,31.96
220170429,92,3,14.11
220304536,110,7,52.31
220428560,118,5,10.65
220455949,135,4,17.52
220565458,38,1,57.14
220660660,48,18,115.28999999999999
220757052,141,5,9.72
220878471,0,4,14.59
220930114,134,5,11.670000000000002
220965197,124,17,45.28
221169265,9,4,39.050000000000004
221363364,127,4,35.19
221375480,70,3,15.52
221454053,25,15,77.63
221677399,81,20,48.78
221988388,67,7,18.07
222071825,136,3,12.54
222111709,23,23,106.5
222225189,2,56,294.13
222458546,120,1,19.03
222462997,97,8,9.63
222564172,40,7,14.98
222571460,16,1,14.6
222692892,149,1,31.59
222944238,150,6,17.93
222944875,42,9,20.619999999999997
223048543,145,8,53.14
223293700,4,121,740.34
223314977,77,7,39.04
223531117,97,10,176.0
223624171,84,14,65.59
224165262,141,9,65.13
224519667,120,1,20.0
224802545,65,8,37.96
225090343,100,3,18.59
225183218,129,2,15.48
225554623,75,2,9.67
225650221,92,6,42.88
225825142,120,4,13.16
225911242,29,20,94.99
226566917,54,6,62.57
226572682,129,3,9.790000000000001
226770989,69,5,24.59
226875772,85,7,39.45
226926308,33,12,70.26
227060608,71,8,31.360000000000003
227204634,134,9,50.37
227220075,99,7,95.61
227284580,113,13,112.83
227354339,65,7,27.89
227474186,108,1,14.89
227515153,108,3,13.18
227582541,114,4,20.46
227810019,70,7,76.41
227817084,119,7,34.66
227834743,80,6,10.01
227880547,32,8,36.17
227889021,25,17,58.81
228037054,102,3,12.540000000000001
228257067,15,7,18.07
228305296,93,3,37.0
228336121,128,3,40.08
228337277,99,8,39.0
228341360,37,8,24.55
228566753,119,25,167.82
228729308,51,2,10.379999999999999
228805105,122,13,76.59
229059909,129,8,42.87
229079556,41,3,18.869999999999997
229373847,18,15,67.25
229557551,8,50,273.8
229796396,93,1,15.35
229800210,24,1,5.24
229999526,16,16,104.77
230121886,30,1,2.86
230179434,79,4,15.389999999999999
230350829,52,5,30.88
230375638,3,25,170.34
230511317,65,4,39.980000000000004
230650016,21,28,104.55
230669201,139,3,31.59
230719564,46,11,33.3
230775765,98,8,51.68
230777718,52,5,26.46
230780328,26,23,94.56
230788374,15,17,141.87
230796685,134,3,17.4
230798814,86,4,8.0
230803373,47,4,40.730000000000004
230804022,122,2,10.0
230804370,123,3,2.84
230807908,42,5,13.26
230813572,135,3,15.870000000000001
230818653,42,30,166.23
230818889,19,34,207.87
230819711,0,55,542.88
230826032,25,33,148.01
230849522,100,8,44.05
230855382,51,7,104.97000000000001
230858777,3,13,32.53
230859562,48,5,17.53
230860281,100,30,110.18
230862012,27,15,90.85
230868257,89,3,6.18
230873110,99,32,162.91
230885854,55,25,195.76999999999998
230891437,38,10,76.35
230893475,32,29,237.76
230901997,86,2,34.82
230903352,98,7,21.75
230910131,27,39,122.43
230911992,68,11,48.72
230912605,95,2,16.98
230918028,149,2,16.03
230920237,11,8,49.34
230921611,148,3,14.54
230923286,9,20,66.94
230926253,65,4,13.149999999999999
230926335,31,28,101.11
230933404,93,13,39.230000000000004
230934864,49,20,161.05
230935013,1,55,234.58
230936437,149,2,8.73
230952088,18,12,32.36
230953326,82,4,11.26
230956608,115,7,29.36
230973219,18,19,123.94
230979200,90,1,3.97
230988758,1,3,20.03
230991755,26,19,108.17
231004021,131,4,31.04
231009892,94,6,55.81
231011087,24,23,176.91
231019877,16,17,43.27
231022172,110,14,64.15
231023829,33,14,67.86
231029154,1,86,542.23
231036933,92,6,31.83
231048129,6,14,84.99
231052075,47,20,116.02
231052642,67,5,18.65
231053975,86,2,21.9
231055816,92,10,59.49
231058963,35,1,63.48
231063245,71,1,52.32
231065844,16,27,203.59
231066621,17,2,9.7
231071539,139,7,84.84
231072256,26,39,189.16
231076778,4,34,318.09
231088528,72,1,3.97
